id,time,url,tweet,replies,retweets,quotes,likes
9.20295e+17,2017-10-17 14:28:00,https://twitter.com/JoeBiden/status/920295421620228102,Looking forward to welcoming Gov @JohnKasich to @UDelaware @UDBidenInst to discuss bridging partisan divides &amp; restoring faith in government,252,972,68,9031
9.20296e+17,2017-10-17 14:28:00,https://twitter.com/JoeBiden/status/920295560082534400,"@JohnKasich @UDelaware @UDBidenInst There's a lot at stake, but John and I are still optimistic. I hope you'll tune in at 1:00PM -  https://t.co/0z8dtU3guo",61,169,7,1189
9.20661e+17,2017-10-18 14:39:00,https://twitter.com/JoeBiden/status/920660537565941761,"Looking forward to discussing my new book PROMISE ME, DAD with these inspiring individuals on #AmericanPromiseTour https://t.co/Ce1eY5jFpY https://t.co/J5NhLb4uyN",118,433,51,3709
9.22955e+17,2017-10-24 22:37:00,https://twitter.com/JoeBiden/status/922955336620716032,"Alabama, this gets to the heart of why you should vote for Doug Jones on December 12th. A man of incredible integrity and intellect. https://t.co/sjgtmICxUf",399,6877,160,21287
9.23335e+17,2017-10-25 23:44:00,https://twitter.com/JoeBiden/status/923334547063762944,"Honored to work with a woman of great courage, my friend @ladygaga. With her leadership, and your help, we can change the culture. #ItsOnUs https://t.co/ZcaOqncopa",544,6339,253,34301
9.25549e+17,2017-11-01 02:24:00,https://twitter.com/JoeBiden/status/925549001520435200,"New York, we love you. Grateful to first responders who saved lives today. Jill and I are keeping you all in our prayers.",234,3632,64,36603
9.25707e+17,2017-11-01 12:52:00,https://twitter.com/JoeBiden/status/925707148222443520,Today is the first day to sign up for 2018 health insurance through https://t.co/3CYKhP8ZoR. Deadline is December 15th! https://t.co/GtpN0DiugI,211,12087,293,16978
9.25707e+17,2017-11-01 12:53:00,https://twitter.com/JoeBiden/status/925707249573605377,Donât let politics &amp; misinformation keep your loved ones from getting health insurance. Call/text them today to make sure they sign up!,117,2612,31,8600
9.27343e+17,2017-11-06 01:11:00,https://twitter.com/JoeBiden/status/927342624872239104,Americans again murdered in a place of worship. Jill and I send our prayers to Sutherland Springs.,299,2784,47,24682
9.27343e+17,2017-11-06 01:12:00,https://twitter.com/JoeBiden/status/927342840593768449,These tragedies arenât inevitable. Donât let hopelessness win today. We must persist in our efforts to prevent gun violence.,483,7018,162,32043
9.27654e+17,2017-11-06 21:48:00,https://twitter.com/JoeBiden/status/927653903063310336,"Folks, there's an election happening tomorrow. We've got to keep our eye on the ball. Let's get this done. https://t.co/UWl53fswMz",209,5705,146,19860
9.28113e+17,2017-11-08 04:13:00,https://twitter.com/JoeBiden/status/928113140730130432,"A resounding defeat tonight for President Trump. Voters around the country rejected the ugly politics we have seen this past year. Instead, they chose candidates who unite and inspire us.",2882,39280,1584,197851
9.28113e+17,2017-11-08 04:14:00,https://twitter.com/JoeBiden/status/928113403608092674,"Candidates like Ralph Northam and Justin Fairfax, who will ensure that Virginiaâs economic recovery continues to reach every town and city in the commonwealth.",114,930,22,6166
9.28114e+17,2017-11-08 04:16:00,https://twitter.com/JoeBiden/status/928113880508837889,"State legislators like Sara Cambensy in Michigan and Danica Roem, Jennifer Carroll Foy, David Reid, John Bell, and Elizabeth Guzman in Virginia. People who stood up for working people of every stripe.",58,785,23,4744
